realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1929-03-01,7.7495
2019-12-23,2019-12-23,1929-04-01,7.8532
2019-12-23,2019-12-23,1929-05-01,8.0087
2019-12-23,2019-12-23,1929-06-01,8.1124
2019-12-23,2019-12-23,1929-07-01,8.1901
2019-12-23,2019-12-23,1929-08-01,8.1383
2019-12-23,2019-12-23,1929-09-01,7.9828
2019-12-23,2019-12-23,1929-10-01,7.9050
2019-12-23,2019-12-23,1929-11-01,7.4644
2019-12-23,2019-12-23,1929-12-01,7.0238
2019-12-23,2019-12-23,1930-01-01,7.1016
2019-12-23,2019-12-23,1930-02-01,7.0497
2019-12-23,2019-12-23,1930-03-01,6.8165
2019-12-23,2019-12-23,1930-04-01,6.9201
2019-12-23,2019-12-23,1930-05-01,6.7905
2019-12-23,2019-12-23,1930-06-01,6.6091
2019-12-23,2019-12-23,1930-07-01,6.2981
2019-12-23,2019-12-23,1930-08-01,6.0648
2019-12-23,2019-12-23,1930-09-01,6.0130
2019-12-23,2019-12-23,1930-10-01,5.8056
2019-12-23,2019-12-23,1930-11-01,5.6501
2019-12-23,2019-12-23,1930-12-01,5.5205
2019-12-23,2019-12-23,1931-01-01,5.5206
2019-12-23,2019-12-23,1931-02-01,5.5724
2019-12-23,2019-12-23,1931-03-01,5.6761
2019-12-23,2019-12-23,1931-04-01,5.6761
2019-12-23,2019-12-23,1931-05-01,5.6242
2019-12-23,2019-12-23,1931-06-01,5.4169
2019-12-23,2019-12-23,1931-07-01,5.3391
2019-12-23,2019-12-23,1931-08-01,5.1577
2019-12-23,2019-12-23,1931-09-01,4.9244
2019-12-23,2019-12-23,1931-10-01,4.6912
2019-12-23,2019-12-23,1931-11-01,4.6134
2019-12-23,2019-12-23,1931-12-01,4.5875
2019-12-23,2019-12-23,1932-01-01,4.5357
2019-12-23,2019-12-23,1932-02-01,4.4061
2019-12-23,2019-12-23,1932-03-01,4.2506
2019-12-23,2019-12-23,1932-04-01,3.9914
2019-12-23,2019-12-23,1932-05-01,3.8877
2019-12-23,2019-12-23,1932-06-01,3.7581
2019-12-23,2019-12-23,1932-07-01,3.6285
2019-12-23,2019-12-23,1932-08-01,3.7322
2019-12-23,2019-12-23,1932-09-01,3.9914
2019-12-23,2019-12-23,1932-10-01,4.0951
2019-12-23,2019-12-23,1932-11-01,4.1210
2019-12-23,2019-12-23,1932-12-01,4.0432
2019-12-23,2019-12-23,1933-01-01,3.9914
2019-12-23,2019-12-23,1933-02-01,3.8877
2019-12-23,2019-12-23,1933-03-01,3.6544
2019-12-23,2019-12-23,1933-04-01,4.0432
2019-12-23,2019-12-23,1933-05-01,4.7430
2019-12-23,2019-12-23,1933-06-01,5.5206
2019-12-23,2019-12-23,1933-07-01,6.0907
2019-12-23,2019-12-23,1933-08-01,5.7279
2019-12-23,2019-12-23,1933-09-01,5.4428
2019-12-23,2019-12-23,1933-10-01,5.1318
2019-12-23,2019-12-23,1933-11-01,4.7948
2019-12-23,2019-12-23,1933-12-01,4.8467
2019-12-23,2019-12-23,1934-01-01,5.0022
2019-12-23,2019-12-23,1934-02-01,5.2873
2019-12-23,2019-12-23,1934-03-01,5.4946
2019-12-23,2019-12-23,1934-04-01,5.5983
2019-12-23,2019-12-23,1934-05-01,5.6761
2019-12-23,2019-12-23,1934-06-01,5.5465
2019-12-23,2019-12-23,1934-07-01,5.1059
2019-12-23,2019-12-23,1934-08-01,5.0799
2019-12-23,2019-12-23,1934-09-01,4.7948
2019-12-23,2019-12-23,1934-10-01,4.9763
2019-12-23,2019-12-23,1934-11-01,5.0540
2019-12-23,2019-12-23,1934-12-01,5.4169
2019-12-23,2019-12-23,1935-01-01,5.9093
2019-12-23,2019-12-23,1935-02-01,6.0130
2019-12-23,2019-12-23,1935-03-01,5.9352
2019-12-23,2019-12-23,1935-04-01,5.8834
2019-12-23,2019-12-23,1935-05-01,5.8575
2019-12-23,2019-12-23,1935-06-01,5.8316
2019-12-23,2019-12-23,1935-07-01,6.0130
2019-12-23,2019-12-23,1935-08-01,6.2463
2019-12-23,2019-12-23,1935-09-01,6.4018
2019-12-23,2019-12-23,1935-10-01,6.5832
2019-12-23,2019-12-23,1935-11-01,6.7387
2019-12-23,2019-12-23,1935-12-01,6.8165
2019-12-23,2019-12-23,1936-01-01,6.6869
2019-12-23,2019-12-23,1936-02-01,6.4795
2019-12-23,2019-12-23,1936-03-01,6.6091
2019-12-23,2019-12-23,1936-04-01,7.0238
2019-12-23,2019-12-23,1936-05-01,7.2052
2019-12-23,2019-12-23,1936-06-01,7.3607
2019-12-23,2019-12-23,1936-07-01,7.4903
2019-12-23,2019-12-23,1936-08-01,7.6199
2019-12-23,2019-12-23,1936-09-01,7.7495
2019-12-23,2019-12-23,1936-10-01,7.8791
2019-12-23,2019-12-23,1936-11-01,8.0864
2019-12-23,2019-12-23,1936-12-01,8.3456
2019-12-23,2019-12-23,1937-01-01,8.3456
2019-12-23,2019-12-23,1937-02-01,8.4752
2019-12-23,2019-12-23,1937-03-01,8.5271
2019-12-23,2019-12-23,1937-04-01,8.6566
2019-12-23,2019-12-23,1937-05-01,8.7085
2019-12-23,2019-12-23,1937-06-01,8.5530
2019-12-23,2019-12-23,1937-07-01,8.6048
